text_content,event_type
Dense winter fog reducing visibility to below 20 meters near airport road in Bhopal.,Fog
Blinding dust haze and windstorm disrupting local markets in Kolkata.,DustStorm
Zero visibility reported in Lucknow due to heavy blinding fog. Flight operations delayed.,Fog
Violent thunderstorm with frequent lightning strikes and sudden heavy downpour hitting Hyderabad.,Thunderstorm
thick smog and mist blinding early morning commute across key highways in pune.,Fog
Mercury hits seasonal high in Visakhapatnam. High temperature causing unbearable heatwave conditions.,Heatwave
Light scattered drizzle in parts of Guwahati followed by mild sunshine.,Other
Hot summer breeze and blistering sunshine making commute difficult in Lucknow.,Heatwave
Scorching heatwave conditions in Ahmedabad with mercury touching 44.5 degrees celsius.,Heatwave
Heavy deluge causing river overflow and severe urban flooding in outskirts of Indore.,Flood
Sweltering heat and extreme sunstroke warnings issued for residents in Chandigarh today.,Heatwave
Scorching heatwave conditions in Pune with mercury touching 44.5 degrees celsius.,Heatwave
Misty morning and poor visibility causing slow moving traffic on arterial roads in Nagpur.,Fog
Violent windstorm knocking down hoardings and electrical poles across Chandigarh.,StrongWind
Cloudburst and severe hailstorm disrupting power supply and damaging crops near Guwahati.,Thunderstorm
Thick smog and mist blinding early morning commute across key highways in Patna.,Fog
Violent windstorm knocking down hoardings and electrical poles across Ahmedabad.,StrongWind
"Massive dust storm sweeping through Chandigarh, pushing thick dust clouds into residential areas.",DustStorm
Sudden duststorm engulfing highway corridors near Jaipur with high wind speeds.,DustStorm
Extreme monsoon rain submerges underpasses in Bhopal. Emergency services responding to waterlogging.,Flood
Extreme monsoon rain submerges underpasses in Chandigarh. Emergency services responding to waterlogging.,Flood
Clear blue skies and comfortable temperature recorded across Bhubaneswar today.,Other
Hot summer breeze and blistering sunshine making commute difficult in Indore.,Heatwave
Gale force winds and cyclone warnings issued for coastal areas surrounding Ahmedabad.,StrongWind
Gale force winds and cyclone warnings issued for coastal areas surrounding Guwahati.,StrongWind
High wind gusts exceeding 75 km/h causing structural damages in commercial hubs of Lucknow.,StrongWind
High wind gusts exceeding 75 km/h causing structural damages in commercial hubs of Bhopal.,StrongWind
Extreme monsoon rain submerges underpasses in Bengaluru. Emergency services responding to waterlogging.,Flood
Sudden duststorm engulfing highway corridors near Visakhapatnam with high wind speeds.,DustStorm
Thick dust clouds and turbulent winds creating blinding dust haze in Chennai.,DustStorm
Blinding dust haze and windstorm disrupting local markets in Mumbai.,DustStorm
Dense winter fog reducing visibility to below 20 meters near airport road in Mumbai.,Fog
scorching heatwave conditions in nagpur with mercury touching 44.5 degrees celsius.,Heatwave
Dense winter fog reducing visibility to below 20 meters near airport road in Ahmedabad.,Fog
Light scattered drizzle in parts of Visakhapatnam followed by mild sunshine.,Other
blistering heatwave and hot dry winds blowing across indore. authorities issue heat advisory.,Heatwave
Gale force winds and cyclone warnings issued for coastal areas surrounding Kochi.,StrongWind
Severe heat stroke alert active across Patna. Temperatures expected to exceed 45C tomorrow.,Heatwave
Mild overcast weather in Chandigarh with pleasant afternoon breeze and clear skies.,Other
Severe gusty winds uprooting large trees and damaging tin roofs in Mumbai.,StrongWind
Thick smog and mist blinding early morning commute across key highways in Mumbai.,Fog
Heavy deluge causing river overflow and heavy urban flooding in outskirts of Mumbai.,Flood
Thick dust clouds and turbulent winds creating blinding dust haze in Patna.,DustStorm
Severe weather alert: thunderstorm with sudden wind squalls hitting Ahmedabad this evening.,Thunderstorm
smog and low visibility enveloping entire city center of hyderabad during early hours.,Fog
Extreme monsoon rain submerges underpasses in Surat. Emergency services responding to waterlogging.,Flood
Heavy deluge causing river overflow and severe urban flooding in outskirts of Bengaluru.,Flood
Severe gusty winds uprooting large trees and damaging tin roofs in Bhubaneswar.,StrongWind
Strong winds and high velocity squalls creating hazardous conditions in Mumbai.,StrongWind
Severe heat stroke alert active across Kolkata. Temperatures expected to exceed 45C tomorrow.,Heatwave
continuous lightning and severe thunderclaps terrifying residents across ahmedabad.,Thunderstorm
Severe weather alert: thunderstorm with sudden wind squalls hitting Lucknow this evening.,Thunderstorm
Intense thunderstorm activity with heavy downpour and small hail reported in suburban Surat.,Thunderstorm
Severe gusty winds uprooting large trees and damaging tin roofs in Mumbai.,StrongWind
zero visibility reported in kolkata due to heavy blinding fog. flight operations delayed.,Fog
Strong squall and dust storm causing tree branches to snap in outer Kolkata.,DustStorm
Torrential downpour has inundated low-lying residential sectors near Jaipur. Stranded vehicles reported.,Flood
loud thunderclaps and torrential rain accompanied by high lightning activity in chennai.,Thunderstorm
Gale force winds and cyclone warnings issued for coastal areas surrounding Ahmedabad.,StrongWind
Dense winter fog reducing visibility to below 20 meters near airport road in Mumbai.,Fog
Thick dust clouds and turbulent winds creating blinding dust haze in Ahmedabad.,DustStorm
Torrential downpour has inundated low-lying residential sectors near Ahmedabad. Stranded vehicles reported.,Flood
Extreme monsoon downpour submerges underpasses in Kolkata. Emergency services responding to waterlogging.,Flood
Severe weather alert: thunderstorm with sudden wind squalls hitting Visakhapatnam this evening.,Thunderstorm
Severe gusty winds uprooting large trees and damaging tin roofs in Bhopal.,StrongWind
Severe weather alert: thunderstorm with sudden wind squalls hitting Jaipur this evening.,Thunderstorm
Thick smog and mist blinding early morning commute across key highways in Bhubaneswar.,Fog
Torrential downpour has inundated low-lying residential sectors near Ahmedabad. Stranded vehicles reported.,Flood
Misty morning and poor visibility causing slow moving traffic on arterial roads in Pune.,Fog
Heavy deluge causing river overflow and severe urban flooding in outskirts of Visakhapatnam.,Flood
Zero visibility reported in Jaipur due to heavy blinding fog. Flight operations delayed.,Fog
Severe heat stroke alert active across Kolkata. Temperatures expected to exceed 45C tomorrow.,Heatwave
Sweltering heat and extreme sunstroke warnings issued for residents in Bengaluru today.,Heatwave
Strong winds and high velocity squalls creating hazardous conditions in Patna.,StrongWind
"Tempest winds tearing through streets of Chennai, downing power cables.",StrongWind
Strong squall and dust storm causing tree branches to snap in outer Chennai.,DustStorm
Incessant rainfall leading to severe waterlogging on main roads in Kochi. Water levels reaching 2 feet deep.,Flood
Violent thunderstorm with frequent lightning strikes and sudden heavy downpour hitting Chandigarh.,Thunderstorm
Loud thunderclaps and torrential rain accompanied by high lightning activity in Indore.,Thunderstorm
High wind gusts exceeding 75 km/h causing structural damages in commercial hubs of Hyderabad.,StrongWind
Severe gusty winds uprooting large trees and damaging tin roofs in Kochi.,StrongWind
Partly cloudy sky observed in Jaipur with gentle evening breeze.,Other
Severe gusty winds uprooting large trees and damaging tin roofs in Jaipur.,StrongWind
mercury hits seasonal high in surat. high temperature causing unbearable heatwave conditions.,Heatwave
Clear blue skies and comfortable temperature recorded across Patna today.,Other
Thick smog and mist blinding early morning commute across key highways in Kolkata.,Fog
Thick dust clouds and turbulent winds creating blinding dust haze in Mumbai.,DustStorm
blinding dust haze and windstorm disrupting local markets in bhubaneswar.,DustStorm
Smog and low visibility enveloping entire city center of Pune during early hours.,Fog
Scorching heatwave conditions in Indore with mercury touching 44.5 degrees celsius.,Heatwave
Strong squall and dust storm causing tree branches to snap in outer Hyderabad.,DustStorm
Dense winter fog reducing visibility to below 20 meters near airport road in Chandigarh.,Fog
Torrential downpour has inundated low-lying residential sectors near Chandigarh. Stranded vehicles reported.,Flood
Severe gusty winds uprooting large trees and damaging tin roofs in Surat.,StrongWind
Blinding sandstorm and severe dust haze rapidly reducing visibility across Pune.,DustStorm
Thick smog and mist blinding early morning commute across key highways in Guwahati.,Fog
Intense thunderstorm activity with heavy rain and small hail reported in suburban Hyderabad.,Thunderstorm
Mild overcast weather in Nagpur with pleasant afternoon breeze and clear skies.,Other
violent thunderstorm with frequent lightning strikes and sudden heavy downpour hitting kolkata.,Thunderstorm
Misty morning and poor visibility causing slow moving traffic on arterial roads in Kochi.,Fog
zero visibility reported in indore due to heavy blinding fog. flight operations delayed.,Fog
Misty morning and poor visibility causing slow moving traffic on arterial roads in Ahmedabad.,Fog
dense winter fog reducing visibility to below 20 meters near airport road in patna.,Fog
Strong winds and high velocity squalls creating hazardous conditions in Kolkata.,StrongWind
Severe weather alert: thunderstorm with sudden wind squalls hitting Visakhapatnam this evening.,Thunderstorm
Heavy deluge causing river overflow and severe urban flooding in outskirts of Nagpur.,Flood
Dense fog advisory active in Guwahati. Drivers urged to keep fog lights on.,Fog
Heavy deluge causing river overflow and severe urban flooding in outskirts of Chennai.,Flood
Loud thunderclaps and torrential downpour accompanied by high lightning activity in Chennai.,Thunderstorm
Cloudburst and severe hailstorm disrupting power supply and damaging crops near Pune.,Thunderstorm
Hot summer breeze and blistering sunshine making commute difficult in Mumbai.,Heatwave
Thick dust clouds and turbulent winds creating blinding dust haze in Patna.,DustStorm
Dense fog advisory active in Kolkata. Drivers urged to keep fog lights on.,Fog
dense fog advisory active in bhopal. drivers urged to keep fog lights on.,Fog
Blinding dust haze and windstorm disrupting local markets in Kolkata.,DustStorm
strong winds and high velocity squalls creating hazardous conditions in visakhapatnam.,StrongWind
Blinding dust haze and windstorm disrupting local markets in Surat.,DustStorm
Blistering heatwave and hot dry winds blowing across Hyderabad. Authorities issue heat advisory.,Heatwave
Partly cloudy sky observed in Mumbai with gentle evening breeze.,Other
Extreme monsoon rain submerges underpasses in Ahmedabad. Emergency services responding to waterlogging.,Flood
Dense fog advisory active in Chennai. Drivers urged to keep fog lights on.,Fog
Partly cloudy sky observed in Bhopal with gentle evening breeze.,Other
Violent thunderstorm with frequent lightning strikes and sudden heavy downpour hitting Delhi.,Thunderstorm
Cloudburst and heavy hailstorm disrupting power supply and damaging crops near Mumbai.,Thunderstorm
Torrential downpour has inundated low-lying residential sectors near Lucknow. Stranded vehicles reported.,Flood
Mercury hits seasonal high in Lucknow. High temperature causing unbearable heatwave conditions.,Heatwave
Extreme monsoon rain submerges underpasses in Pune. Emergency services responding to waterlogging.,Flood
Dense winter fog reducing visibility to below 20 meters near airport road in Hyderabad.,Fog
sweltering heat and extreme sunstroke warnings issued for residents in pune today.,Heatwave
misty morning and poor visibility causing slow moving traffic on arterial roads in chandigarh.,Fog
Strong winds and high velocity squalls creating hazardous conditions in Bengaluru.,StrongWind
Mild overcast weather in Ahmedabad with pleasant afternoon breeze and clear skies.,Other
Dense fog advisory active in Hyderabad. Drivers urged to keep fog lights on.,Fog
Scorching heatwave conditions in Jaipur with mercury touching 44.5 degrees celsius.,Heatwave
Intense thunderstorm activity with heavy rain and small hail reported in suburban Chandigarh.,Thunderstorm
Severe heat stroke alert active across Surat. Temperatures expected to exceed 45C tomorrow.,Heatwave
Thick dust clouds and turbulent winds creating blinding dust haze in Bhubaneswar.,DustStorm
Hot summer breeze and blistering sunshine making commute difficult in Chandigarh.,Heatwave
Mercury hits seasonal high in Mumbai. High temperature causing unbearable heatwave conditions.,Heatwave
Heavy deluge causing river overflow and severe urban flooding in outskirts of Guwahati.,Flood
Blinding dust haze and windstorm disrupting local markets in Kolkata.,DustStorm
Hot summer breeze and blistering sunshine making commute difficult in Bengaluru.,Heatwave
Severe weather alert: thunderstorm with sudden wind squalls hitting Pune this evening.,Thunderstorm
Blinding dust haze and windstorm disrupting local markets in Bengaluru.,DustStorm
Blistering heatwave and hot dry winds blowing across Bhopal. Authorities issue heat advisory.,Heatwave
Incessant downpourfall leading to heavy waterlogging on main roads in Patna. Water levels reaching 2 feet deep.,Flood
Severe weather alert: thunderstorm with sudden wind squalls hitting Guwahati this evening.,Thunderstorm
Extreme monsoon rain submerges underpasses in Pune. Emergency services responding to waterlogging.,Flood
Flooding reported in Kochi after 4 hours of non-stop rain. Submerged streets disrupting traffic.,Flood
Mild overcast weather in Hyderabad with pleasant afternoon breeze and clear skies.,Other
Thick smog and mist blinding early morning commute across key highways in Nagpur.,Fog
Sudden duststorm engulfing highway corridors near Pune with high wind speeds.,DustStorm
Violent windstorm knocking down hoardings and electrical poles across Delhi.,StrongWind
Severe weather alert: thunderstorm with sudden wind squalls hitting Guwahati this evening.,Thunderstorm
Extreme monsoon rain submerges underpasses in Bhopal. Emergency services responding to waterlogging.,Flood
Hot summer breeze and blistering sunshine making commute difficult in Surat.,Heatwave
Sweltering heat and extreme sunstroke warnings issued for residents in Bengaluru today.,Heatwave
Thick dust clouds and turbulent winds creating blinding dust haze in Surat.,DustStorm
Cloudburst and heavy hailstorm disrupting power supply and damaging crops near Bengaluru.,Thunderstorm
Incessant rainfall leading to severe waterlogging on main roads in Indore. Water levels reaching 2 feet deep.,Flood
Hot summer breeze and blistering sunshine making commute difficult in Lucknow.,Heatwave
Sudden duststorm engulfing highway corridors near Kolkata with high wind speeds.,DustStorm
Blinding sandstorm and severe dust haze rapidly reducing visibility across Hyderabad.,DustStorm
scorching heatwave conditions in jaipur with mercury touching 44.5 degrees celsius.,Heatwave
"massive dust storm sweeping through bhubaneswar, pushing thick dust clouds into residential areas.",DustStorm
Intense thunderstorm activity with heavy rain and small hail reported in suburban Chandigarh.,Thunderstorm
Continuous lightning and severe thunderclaps terrifying residents across Visakhapatnam.,Thunderstorm
Mild overcast weather in Pune with pleasant afternoon breeze and clear skies.,Other
High wind gusts exceeding 75 km/h causing structural damages in commercial hubs of Patna.,StrongWind
"tempest winds tearing through streets of bhopal, downing power cables.",StrongWind
Gale force winds and cyclone warnings issued for coastal areas surrounding Pune.,StrongWind
"Massive dust storm sweeping through Delhi, pushing thick dust clouds into residential areas.",DustStorm
Heavy deluge causing river overflow and severe urban flooding in outskirts of Guwahati.,Flood
"tempest winds tearing through streets of ahmedabad, downing power cables.",StrongWind
Incessant rainfall leading to severe waterlogging on main roads in Indore. Water levels reaching 2 feet deep.,Flood
Severe weather alert: thunderstorm with sudden wind squalls hitting Pune this evening.,Thunderstorm
Extreme monsoon rain submerges underpasses in Mumbai. Emergency services responding to waterlogging.,Flood
Violent thunderstorm with frequent lightning strikes and sudden heavy downpour hitting Lucknow.,Thunderstorm
Cloudburst and severe hailstorm disrupting power supply and damaging crops near Kochi.,Thunderstorm
Thick dust clouds and turbulent winds creating blinding dust haze in Chennai.,DustStorm
Severe gusty winds uprooting large trees and damaging tin roofs in Visakhapatnam.,StrongWind
Gale force winds and cyclone warnings issued for coastal areas surrounding Visakhapatnam.,StrongWind
Violent thunderstorm with frequent lightning strikes and sudden heavy downpour hitting Patna.,Thunderstorm
Blistering heatwave and hot dry winds blowing across Kolkata. Authorities issue heat advisory.,Heatwave
Loud thunderclaps and torrential downpour accompanied by high lightning activity in Jaipur.,Thunderstorm
humidity levels rising slightly in chennai with moderate cloud cover.,Other
Waterlogging reported near railway station and main bus terminus in Hyderabad. Commuters advised to avoid.,Flood
high wind gusts exceeding 75 km/h causing structural damages in commercial hubs of mumbai.,StrongWind
Torrential downpour has inundated low-lying residential sectors near Nagpur. Stranded vehicles reported.,Flood
Strong winds and high velocity squalls creating hazardous conditions in Bhopal.,StrongWind
Scorching heatwave conditions in Delhi with mercury touching 44.5 degrees celsius.,Heatwave
Partly cloudy sky observed in Indore with gentle evening breeze.,Other
Scorching heatwave conditions in Bhubaneswar with mercury touching 44.5 degrees celsius.,Heatwave
Zero visibility reported in Pune due to heavy blinding fog. Flight operations delayed.,Fog
Flooding reported in Chennai after 4 hours of non-stop rain. Submerged streets disrupting traffic.,Flood
Humidity levels rising slightly in Chandigarh with moderate cloud cover.,Other
Light scattered drizzle in parts of Chennai followed by mild sunshine.,Other
Light scattered drizzle in parts of Surat followed by mild sunshine.,Other
Cloudburst and severe hailstorm disrupting power supply and damaging crops near Hyderabad.,Thunderstorm
Blinding dust haze and windstorm disrupting local markets in Guwahati.,DustStorm
Clear blue skies and comfortable temperature recorded across Patna today.,Other
Mercury hits seasonal high in Visakhapatnam. High temperature causing unbearable heatwave conditions.,Heatwave
Flooding reported in Chandigarh after 4 hours of non-stop rain. Submerged streets disrupting traffic.,Flood
Light scattered drizzle in parts of Surat followed by mild sunshine.,Other
Continuous lightning and heavy thunderclaps terrifying residents across Mumbai.,Thunderstorm
Severe gusty winds uprooting large trees and damaging tin roofs in Ahmedabad.,StrongWind
Violent windstorm knocking down hoardings and electrical poles across Bhopal.,StrongWind
Violent windstorm knocking down hoardings and electrical poles across Kolkata.,StrongWind
Humidity levels rising slightly in Bhubaneswar with moderate cloud cover.,Other
Sudden duststorm engulfing highway corridors near Lucknow with high wind speeds.,DustStorm
smog and low visibility enveloping entire city center of bhubaneswar during early hours.,Fog
Blinding sandstorm and heavy dust haze rapidly reducing visibility across Bengaluru.,DustStorm
Strong winds and high velocity squalls creating hazardous conditions in Chennai.,StrongWind
hot summer breeze and blistering sunshine making commute difficult in visakhapatnam.,Heatwave
Incessant rainfall leading to severe waterlogging on main roads in Visakhapatnam. Water levels reaching 2 feet deep.,Flood
Thick smog and mist blinding early morning commute across key highways in Chandigarh.,Fog
Zero visibility reported in Mumbai due to heavy blinding fog. Flight operations delayed.,Fog
"Tempest winds tearing through streets of Bhubaneswar, downing power cables.",StrongWind
Thick dust clouds and turbulent winds creating blinding dust haze in Hyderabad.,DustStorm
Mild overcast weather in Indore with pleasant afternoon breeze and clear skies.,Other
Normal seasonal weather condition recorded in Kochi today. No warnings issued.,Other
Misty morning and poor visibility causing slow moving traffic on arterial roads in Guwahati.,Fog
mercury hits seasonal high in pune. high temperature causing unbearable heatwave conditions.,Heatwave
"massive dust storm sweeping through chandigarh, pushing thick dust clouds into residential areas.",DustStorm
Violent windstorm knocking down hoardings and electrical poles across Ahmedabad.,StrongWind
Clear blue skies and comfortable temperature recorded across Visakhapatnam today.,Other
clear blue skies and comfortable temperature recorded across lucknow today.,Other
Flooding reported in Patna after 4 hours of non-stop downpour. Submerged streets disrupting traffic.,Flood
loud thunderclaps and torrential rain accompanied by high lightning activity in bhubaneswar.,Thunderstorm
"Tempest winds tearing through streets of Kolkata, downing power cables.",StrongWind
Violent windstorm knocking down hoardings and electrical poles across Pune.,StrongWind
Violent thunderstorm with frequent lightning strikes and sudden heavy downpour hitting Surat.,Thunderstorm
Normal seasonal weather condition recorded in Ahmedabad today. No warnings issued.,Other
Mercury hits seasonal high in Chandigarh. High temperature causing unbearable heatwave conditions.,Heatwave
Incessant downpourfall leading to heavy waterlogging on main roads in Hyderabad. Water levels reaching 2 feet deep.,Flood
Cloudburst and heavy hailstorm disrupting power supply and damaging crops near Chennai.,Thunderstorm
Intense thunderstorm activity with heavy downpour and small hail reported in suburban Kolkata.,Thunderstorm
Cloudburst and heavy hailstorm disrupting power supply and damaging crops near Delhi.,Thunderstorm
Severe gusty winds uprooting large trees and damaging tin roofs in Chandigarh.,StrongWind
Clear blue skies and comfortable temperature recorded across Kochi today.,Other
Dense fog advisory active in Kochi. Drivers urged to keep fog lights on.,Fog
